<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.26	11:00:00	101642.70	103364.90	101598.06	103314.49	1800	0	3098
2025.06.26	12:00:00	103347.09	104034.89	102565.66	102643.53	1800	0	3098
2025.06.26	13:00:00	102638.76	104291.20	102372.43	104266.25	1800	0	3098
2025.06.26	14:00:00	104282.11	104417.63	102605.97	102778.97	1800	0	3098
2025.06.26	15:00:00	102812.56	103801.96	102584.10	103376.34	1800	0	3098
2025.06.26	16:00:00	103384.92	103781.34	102476.43	102654.36	1799	0	3098
2025.06.26	17:00:00	102673.75	102847.00	101232.55	101928.42	1799	0	3098
2025.06.26	18:00:00	101901.04	102063.75	100655.23	101303.33	1798	0	3098
2025.06.26	19:00:00	101298.89	101385.41	99933.72	100290.98	1800	0	3098
2025.06.26	20:00:00	100281.10	100981.47	99075.25	99427.75	1800	0	3098
2025.06.26	21:00:00	99399.44	101213.44	99360.34	100881.12	1800	0	3098
2025.06.26	22:00:00	100880.27	101430.67	100416.13	101241.61	1797	0	3098
2025.06.26	23:00:00	101240.23	101602.49	100924.92	101041.16	1798	0	3098
2025.06.27	00:00:00	101030.66	101535.27	99751.24	99899.48	1800	0	3098
2025.06.27	01:00:00	99899.94	100363.90	99031.66	99165.39	1800	0	3098
2025.06.27	02:00:00	99153.91	100344.45	98926.78	100298.09	1800	0	3098
2025.06.27	03:00:00	100305.88	100621.98	99405.56	99631.30	1799	0	3098
2025.06.27	04:00:00	99661.63	99806.84	98398.73	99015.05	1800	0	3098
2025.06.27	05:00:00	99039.67	99208.47	97436.17	97855.11	1799	0	3098
2025.06.27	06:00:00	97872.52	99271.05	97844.36	99022.05	1800	0	3098
2025.06.27	07:00:00	99048.53	99402.82	98255.47	98987.49	1799	0	3098
2025.06.27	08:00:00	98991.56	99204.11	97752.75	97755.10	1800	0	3098
2025.06.27	09:00:00	97767.90	98261.39	97335.78	97398.13	1799	0	3098
2025.06.27	10:00:00	97419.48	98081.59	97290.40	97617.70	1800	0	3098
2025.06.27	11:00:00	97617.71	97788.55	96512.78	96964.21	1800	0	3098
2025.06.27	12:00:00	96998.27	97564.17	96322.85	97353.86	1800	0	3098
2025.06.27	13:00:00	97338.21	97575.90	96800.52	96847.82	1800	0	3098
2025.06.27	14:00:00	96843.47	97064.84	95810.51	95890.95	1800	0	3098
2025.06.27	15:00:00	95892.79	96305.57	95131.65	95537.11	1800	0	3098
2025.06.27	16:00:00	95513.60	96285.24	95251.78	96141.07	1799	0	3098
2025.06.27	17:00:00	96132.14	96957.02	95316.57	96705.54	1799	0	3098
2025.06.27	18:00:00	96708.12	97013.29	96047.93	96122.69	1799	0	3098
2025.06.27	19:00:00	96099.36	96581.49	95978.76	96318.25	1800	0	3098
2025.06.27	20:00:00	96302.20	96339.03	93828.41	94214.62	1800	0	3098
2025.06.27	21:00:00	94201.57	94301.12	93409.41	93490.76	1800	0	3098
2025.06.27	22:00:00	93477.10	93519.30	92896.85	93347.86	1799	0	3098
2025.06.27	23:00:00	93358.27	94008.90	92902.97	93803.33	1800	0	3098
2025.06.28	00:00:00	93805.81	94122.21	93315.29	93746.49	1800	0	3098
2025.06.28	01:00:00	93740.26	94590.14	93627.09	93954.48	1800	0	3098
2025.06.28	02:00:00	93939.67	94216.52	93329.31	93598.93	1799	0	3098
2025.06.28	03:00:00	93591.59	94372.43	93425.77	93849.65	1800	0	3098
2025.06.28	04:00:00	93834.27	93896.08	92976.05	93163.04	1800	0	3098
2025.06.28	05:00:00	93170.92	95973.82	93170.92	95938.08	1800	0	3098
2025.06.28	06:00:00	95953.34	97018.84	95876.59	96589.97	1799	0	3098
2025.06.28	07:00:00	96607.01	96664.10	95556.62	95889.57	1798	0	3098
2025.06.28	08:00:00	95858.86	96340.86	95380.43	96209.28	1799	0	3098
2025.06.28	09:00:00	96209.40	96778.94	95576.28	96586.98	1800	0	3098
2025.06.28	10:00:00	96583.09	97890.25	96482.04	97709.76	1800	0	3098
2025.06.28	11:00:00	97714.59	98008.25	96518.82	96796.54	1800	0	3098
2025.06.28	12:00:00	96789.23	97184.92	96328.32	96902.82	1800	0	3098
2025.06.28	13:00:00	96866.84	97451.04	96490.75	97094.86	1800	0	3098
2025.06.28	14:00:00	97106.97	97135.15	96088.31	96186.03	1799	0	3098
2025.06.28	15:00:00	96211.01	96266.12	95406.03	95866.88	1800	0	3098
2025.06.28	16:00:00	95859.18	96315.20	95493.68	95816.55	1799	0	3098
2025.06.28	17:00:00	95795.32	96394.80	95506.60	95669.89	1800	0	3098
2025.06.28	18:00:00	95672.78	96278.40	95372.76	95883.89	1800	0	3098
2025.06.28	19:00:00	95862.69	96250.32	95227.14	96069.37	1800	0	3098
2025.06.28	20:00:00	96023.96	96505.43	95175.15	95464.09	1800	0	3098
2025.06.28	21:00:00	95476.00	95632.52	94578.19	95414.37	1800	0	3098
2025.06.28	22:00:00	95422.33	95699.60	93917.20	94118.70	1800	0	3098
2025.06.28	23:00:00	94143.02	94195.07	93197.74	93835.47	1799	0	3098
2025.06.29	00:00:00	93844.08	94308.15	92768.94	92788.56	1800	0	3098
2025.06.29	01:00:00	92816.56	93726.69	92695.81	93214.72	1799	0	3098
2025.06.29	02:00:00	93212.88	93608.02	92786.32	93444.84	1795	0	3098
2025.06.29	03:00:00	93432.49	94036.52	93312.79	93670.34	1800	0	3098
2025.06.29	04:00:00	93656.94	94287.09	93076.89	93763.32	1800	0	3098
2025.06.29	05:00:00	93751.34	95178.61	93670.89	95107.30	1798	0	3098
2025.06.29	06:00:00	95106.99	95585.92	94602.85	95167.03	1800	0	3098
2025.06.29	07:00:00	95143.39	95707.02	94429.65	94928.15	1798	0	3098
2025.06.29	08:00:00	94959.37	95957.80	94460.48	95953.10	1800	0	3098
2025.06.29	09:00:00	95965.12	95965.12	94463.04	94519.17	1800	0	3098
2025.06.29	10:00:00	94518.22	94764.80	93389.80	94461.83	1800	0	3098
2025.06.29	11:00:00	94429.77	94671.87	93756.22	94433.60	1800	0	3098
2025.06.29	12:00:00	94449.72	95785.13	93970.67	95089.88	1800	0	3098
2025.06.29	13:00:00	95112.48	96100.86	95099.32	95617.90	1799	0	3098
2025.06.29	14:00:00	95597.94	96068.07	95155.19	95204.42	1799	0	3098
2025.06.29	15:00:00	95204.95	96430.93	95026.51	95725.22	1800	0	3098
2025.06.29	16:00:00	95711.74	95830.87	94694.36	95036.21	1800	0	3098
2025.06.29	17:00:00	95026.83	95435.20	94239.31	94412.04	1800	0	3098
2025.06.29	18:00:00	94394.16	94652.52	93737.88	93847.90	1800	0	3098
2025.06.29	19:00:00	93837.32	95163.26	93820.97	94343.59	1799	0	3098
2025.06.29	20:00:00	94303.32	95173.75	93958.75	95131.88	1800	0	3098
2025.06.29	21:00:00	95130.94	97132.40	95020.58	96859.12	1799	0	3098
2025.06.29	22:00:00	96832.22	97389.58	96400.64	96733.70	1800	0	3098
2025.06.29	23:00:00	96770.55	97608.25	96667.17	97379.56	1800	0	3098
2025.06.30	00:00:00	97423.91	98809.31	97281.96	98148.60	1800	0	3098
2025.06.30	01:00:00	98117.39	98565.53	97684.27	98266.19	1799	0	3098
2025.06.30	02:00:00	98257.77	99351.19	98140.59	99351.19	1800	0	3098
2025.06.30	03:00:00	99347.92	99679.83	99101.91	99607.85	1800	0	3098
2025.06.30	04:00:00	99608.92	100657.69	99528.36	100632.03	1800	0	2169
2025.06.30	05:00:00	100653.78	101291.82	100396.49	100432.51	1800	0	2169
2025.06.30	06:00:00	100470.59	100694.96	100184.09	100343.69	1799	0	2169
2025.06.30	07:00:00	100313.69	100501.10	99208.20	99595.02	1800	0	3098
2025.06.30	08:00:00	99592.03	100061.18	98931.57	99427.62	1800	0	3098
2025.06.30	09:00:00	99420.46	100186.95	99176.71	99892.67	1800	0	3098
2025.06.30	10:00:00	99882.39	100944.60	99827.00	100841.73	1800	0	3098
2025.06.30	11:00:00	100876.27	101184.10	99758.95	100004.50	1799	0	3098
2025.06.30	12:00:00	100019.06	100514.09	99629.69	100321.52	1800	0	3004
2025.06.30	13:00:00	100306.61	100423.35	99478.71	100408.54	1800	0	3004
2025.06.30	14:00:00	100388.22	101103.63	100192.40	100553.52	1798	0	3004
2025.06.30	15:00:00	100559.96	100941.10	99508.71	99944.27	1799	0	3004
2025.06.30	16:00:00	99970.88	101541.79	99925.18	101215.39	1799	0	3004
2025.06.30	17:00:00	101227.41	101448.10	100766.38	101205.22	1799	0	3004
